Course,Description,Full,Instructor,Days,Time,Location,Capacity
COMM     89  ,,,DO K N,W,11:00am - 12:25pm,HSSB 1211,20 / 25
COMM     89  ,,,DO K N,W,12:30pm - 1:55pm,HSSB 1211,13 / 25
COMM     89  ,THEORIES OF COMM,Full,MENDEZ MURILL,MTW,9:30 am - 10:50am,SSMS 1009,50 / 50
COMM     89  ,,Full,MOXLEY C M,W,11:00am - 12:25pm,HSSB 1227,25 / 25
COMM     89  ,,Full,MOXLEY C M,W,12:30pm - 1:55pm,HSSB 1227,25 / 25
COMM     99RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 50
COMM    107  ,INTERPERSONAL COMM,Closed,PARRISH C R,MTW,2:00pm - 3:20pm,SSMS 1009,42 / 50
COMM    111  ,NONVERBAL COMM,Closed,MEROLLA A J,TWR,9:30 am - 12:20pm,PHELP2524,49 / 50
COMM    113  ,MED EFFECTS INDIV,,MULLIN C R,MTW,11:00am - 12:20pm,SSMS 1009,49 / 50
COMM    116  ,INTERNET & SOCIETY,,FLANAGIN A J,TWR,12:30pm - 3:20pm,TD-W 2600,37 / 50
COMM    117  ,PERSUASION,Closed,PEREZ TORRES,MTW,3:30pm - 4:50pm,ARTS 1349,35 / 50
COMM    123  ,CULT INFLUENCE COMM,Closed,REID S A,MTW,12:30pm - 1:50pm,SSMS 1009,34 / 50
COMM    124  ,FAMILY COMM,Full,PINES R L,MTW,2:00pm - 3:20pm,GIRV 1112,50 / 50
COMM    126  ,GENDER AND COMM,Closed,WHITESTONE S,MTW,8:00 am - 9:20 am,SSMS 1009,39 / 50
COMM    127  ,LEADERSHIP & GENDER,,LINZ D G,MTW,3:30pm - 4:50pm,SH   1430,49 / 50
COMM    128  ,INTERGROUP COMM,,GILES M N,MTW,8:00 am - 9:20 am,SSMS 1009,49 / 50
COMM    133  ,MEDIA AND CHILDREN,Full,WEBER R,TWR,2:00pm - 4:50pm,ARTS 1353,50 / 50
COMM    139  ,COMM AND EMOTION,Closed,NABI R L,TWR,9:30 am - 12:20pm,PSYCH1902,23 / 50
COMM    145  ,MEDIA ENTERTAINMENT,,MULLIN C R,MTW,12:30pm - 1:50pm,SSMS 1009,48 / 50
COMM    148  ,RISK COMMUNICATION,Closed,KAM J A,TWR,9:30 am - 12:20pm,PHELP2524,38 / 50
COMM    151  ,RELATIONAL COMM,,AFIFI W A,TWR,2:00pm - 4:50pm,ARTS 1353,43 / 50
COMM    152  ,COMM/ORG MEMBERSHIP,Closed,ENDACOTT C G,MTW,11:00am - 12:20pm,SSMS 1009,36 / 50
COMM    154  ,VIDEO GAME RESEARCH,Full,WEBER R,TWR,9:30 am - 12:20pm,ARTS 1353,50 / 50
COMM    166  ,MARKETING COMM,Closed,MYERS K K,TWR,2:00pm - 4:50pm,PHELP3505,36 / 50
COMM    183  ,INTERCULT COMP,,KAM J A,TWR,9:30 am - 12:20pm,ARTS 1353,47 / 50
COMM    197  ,COMM INTERNSHIP,,MULLIN C R,,,T B A,13 / 50
COMM    197  ,COMM INTERNSHIP,,MULLIN C R,,,T B A,3 / 50
COMM    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
COMM    199RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 50
C LIT    27  ,HUMANITIES/NEUROSCI,Full,SCHRANCK J B,M W F,2:00pm - 3:55pm,PHELP2536,45 / 40
C LIT    30A ,MAJ WORKS-EUROP LIT,Full,MOVSESIAN H,MTWR,9:30 am - 10:55am,PHELP1440,26 / 25
C LIT    30B ,MAJ WORKS-EUROP LIT,,KEYNEJAD N P,MTWR,11:00am - 12:25pm,PHELP2536,20 / 25
